brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket
Unknown,Alibi Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Alibi Tops""]",,499.0,315.0,36.87374749498998,Clothing,Women's Clothing,<₹500
Karatcraft,Karatcraft Zunia Gold Diamond 18 K Ring,"[""Jewellery >> Rings""]",,19306.0,14450.0,25.152802237646327,Jewellery,Rings,₹5K+
Karatcraft,Karatcraft Bibiana Gold Diamond 18 K Ring,"[""Jewellery >> Rings""]",,24911.0,14001.0,43.79591345188872,Jewellery,Rings,₹5K+
BlueStone,"BlueStone The Rajeshwari White Gold Diamond, Emerald, Ruby 18 K Ring","[""Jewellery >> Rings""]",,24984.0,22904.0,8.325328210054435,Jewellery,Rings,₹5K+
Unknown,Miss Chase Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Miss Chase Tops""]",,899.0,450.0,49.94438264738598,Clothing,Women's Clothing,<₹500
Unknown,Nine Lions Bollywood Fashion Party Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Nine Lions Bollywood Fashion Tops""]",,2700.0,700.0,74.07407407407408,Clothing,Women's Clothing,₹500–1K
Slim,Parron Men's Solid Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Parron Casual & Party Wear Shirts""]",,1449.0,699.0,51.75983436853002,Clothing,Men's Clothing,₹500–1K
Slim,Parron Men's Solid Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Parron Casual & Party Wear Shirts""]",,1449.0,598.0,58.730158730158735,Clothing,Men's Clothing,₹500–1K
Slim,Parron Men's Printed Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Parron Casual & Party Wear Shirts""]",,1449.0,699.0,51.75983436853002,Clothing,Men's Clothing,₹500–1K
Slim,Parron Men's Solid Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Parron Casual & Party Wear Shirts""]",,1549.0,749.0,51.64622336991608,Clothing,Men's Clothing,₹500–1K
Unknown,Modo Vivendi Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Modo Vivendi Tops""]",,899.0,899.0,0.0,Clothing,Women's Clothing,₹500–1K
Karatcraft,Karatcraft Citra Engagement Gold Diamond 18 K Ring,"[""Jewellery >> Rings""]",,49999.0,37905.0,24.188483769675393,Jewellery,Rings,₹5K+
Karatcraft,Karatcraft Journa Gold Diamond 18 K Ring,"[""Jewellery >> Rings""]",,48214.0,40178.0,16.667358028788318,Jewellery,Rings,₹5K+
Unknown,R Factor Casual Sleeveless Geometric Print Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> R Factor Tops""]",,2000.0,1700.0,15.0,Clothing,Women's Clothing,₹1K–2K
Unknown,Mangosteen Casual 3/4 Sleeve Printed Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Mangosteen Tops""]",,1999.0,1499.0,25.012506253126567,Clothing,Women's Clothing,₹1K–2K
Karatcraft,Karatcraft Raciel Gold Diamond 18 K Ring,"[""Jewellery >> Rings""]",,42689.0,38808.0,9.091335004333668,Jewellery,Rings,₹5K+
Unknown,Modo Vivendi Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Modo Vivendi Tops""]",,999.0,999.0,0.0,Clothing,Women's Clothing,₹500–1K
Unknown,Enah Casual Sleeveless Printed Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Enah Tops""]",,999.0,795.0,20.42042042042042,Clothing,Women's Clothing,₹500–1K
IskiUski,IskiUski Medieval Sterling Silver Diamond 22K Yellow Gold Ring,"[""Jewellery >> Rings""]",,17060.0,13120.0,23.094958968347008,Jewellery,Rings,₹5K+
Unknown,Kaaryah Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Kaaryah Tops""]",,990.0,990.0,0.0,Clothing,Women's Clothing,₹500–1K
