brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,1399.0,550.0,60.68620443173696,MASARA Solid Women's Straight Kurta,,₹500–1K,2,60–80%,5
Roadster,Roadster Men's Zipper Solid Cardigan,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",3.6,1399.0,699.0,50.03573981415297,Clothing,Men's Clothing,₹500–1K,2,40–60%,4
Noor,Noor Embroidered Women's Straight Kurta,"[""Noor Embroidered Women's Straight Kurta""]",,1649.0,849.0,48.51425106124924,Noor Embroidered Women's Straight Kurta,,₹500–1K,2,40–60%,4
Libas,Libas Printed Women's A-line Kurta,"[""Libas Printed Women's A-line Kurta""]",,899.0,449.0,50.055617352614014,Libas Printed Women's A-line Kurta,,<₹500,1,40–60%,4
Libas,Libas Printed Women's Anarkali Kurta,"[""Libas Printed Women's Anarkali Kurta""]",,1849.0,924.0,50.02704164413196,Libas Printed Women's Anarkali Kurta,,₹500–1K,2,40–60%,4
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,999.0,499.0,50.05005005005005,MASARA Solid Women's Straight Kurta,,<₹500,1,40–60%,4
HRS,HRS ULTIMATE BOY Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED)""]",,440.0,395.0,10.227272727272728,Sports & Fitness,Team Sports,<₹500,1,10–20%,2
Vermello,Vermello Men Casual Brown Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Vermello Belts >> Vermello Men Casual Brown Genuine Leather Belt (...""]",,1495.0,795.0,46.82274247491639,"Bags, Wallets & Belts",Belts,₹500–1K,2,40–60%,4
HRS,HRS CLUB BOY Thigh Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED)""]",,280.0,250.0,10.714285714285714,Sports & Fitness,Team Sports,<₹500,1,10–20%,2
Ligans NY,Ligans NY Men Formal Black Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Ligans NY Belts >> Ligans NY Men Formal Black Genuine Leather Belt ...""]",,795.0,695.0,12.57861635220126,"Bags, Wallets & Belts",Belts,₹500–1K,2,10–20%,2
Elegance,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains >> Elegance Polyester Multicolor Abstract Eyelet Do...""]",,1899.0,899.0,52.6592943654555,Home Furnishing,Curtains & Accessories,₹500–1K,2,40–60%,4
Liza,Liza Women Wedges,"[""Footwear >> Women's Footwear >> Wedges >> Liza Women Wedges""]",,1990.0,1393.0,30.0,Footwear,Women's Footwear,₹1K–2K,3,20–40%,3
HRS,HRS ULTIMATE BOY Elbow Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED)""]",,250.0,230.0,8.0,Sports & Fitness,Team Sports,<₹500,1,0–10%,1
Sathiyas,Sathiyas Cotton Bath Towel,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Sathiyas Baby Bath Towels >> Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y...""]",,600.0,449.0,25.166666666666664,Baby Care,Baby Bath & Skin,<₹500,1,20–40%,3
HRS,HRS ULTIMATE MEN Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE MEN Chest Pads (WHITE, RIGHT-HANDED)""]",,440.0,395.0,10.227272727272728,Sports & Fitness,Team Sports,<₹500,1,10–20%,2
